product_id,vendor_sku,name,description,category,color,material,pattern,price_min,price_max
P0018,V-SHI-0018,Flannel Shirt,Checked Cotton Flannel Shirt with long sleeves button-down neck,SHIRT,Checked,Cotton,Solid,399,1499
P0019,V-KUR-0019,Linen Kurta,Yellow Printed Chiffon Linen Kurta with long sleeves round neck,KURTA,Yellow,Chiffon,Printed,499,1999
P0020,V-SHI-0020,Flannel Shirt,Striped Linen Flannel Shirt with long sleeves button-down neck,SHIRT,Striped,Linen,Solid,399,1499
P0021,V-JEA-0021,Skinny Fit Jeans,Black Stretch Denim Skinny Fit Jeans skinny fit,JEANS,Black,Stretch Denim,Solid,799,2499
P0022,V-TSH-0022,Premium Cotton Tee,Red Stripes Cotton Blend Premium Cotton Tee with short sleeves v-neck neck,TSHIRT,Red,Cotton Blend,Stripes,199,799
P0023,V-POL-0023,Pique Polo T-Shirt,Navy Stripes Performance Fabric Pique Polo T-Shirt with short sleeves,POLO,Navy,Performance Fabric,Stripes,299,999
P0024,V-DRE-0024,Bodycon Party Dress,Pink Floral Linen Bodycon Party Dress with long sleeves square neck,DRESS,Pink,Linen,Floral,599,1999
P0025,V-SAL-0025,Trouser Style Salwar,White Striped Chiffon Trouser Style Salwar regular fit,SALWAR,White,Chiffon,Striped,399,1299
P0026,V-JEA-0026,Relaxed Fit Jeans,Gray Denim Relaxed Fit Jeans straight fit,JEANS,Gray,Denim,Solid,799,2499
P0027,V-JEA-0027,Slim Fit Denim Jeans,Dark Blue Denim Slim Fit Denim Jeans slim fit,JEANS,Dark Blue,Denim,Solid,799,2499
P0028,V-TSH-0028,Oversized Comfort T-Shirt,Pink Stripes Cotton Oversized Comfort T-Shirt with long sleeves henley neck,TSHIRT,Pink,Cotton,Stripes,199,799
P0029,V-JEA-0029,Stretch Comfort Jeans,Dark Blue Vintage Wash Denim Stretch Comfort Jeans skinny fit,JEANS,Dark Blue,Denim,Vintage Wash,799,2499
P0030,V-SAL-0030,Printed Salwar,Black Striped Cotton Printed Salwar palazzo fit,SALWAR,Black,Cotton,Striped,399,1299
P0031,V-SAL-0031,Comfort Fit Salwar,Solid Georgette Comfort Fit Salwar regular fit,SALWAR,Solid,Georgette,Solid,399,1299
P0032,V-TSH-0032,Graphic Print T-Shirt,Black Stripes Cotton Blend Graphic Print T-Shirt with short sleeves v-neck neck,TSHIRT,Black,Cotton Blend,Stripes,199,799
P0033,V-TOP-0033,Off-Shoulder Top,Black Striped Chiffon Off-Shoulder Top with bell sleeves sleeves v-neck neck,TOP,Black,Chiffon,Striped,299,899
P0034,V-POL-0034,Athletic Fit Polo,White Cotton Athletic Fit Polo with short sleeves,POLO,White,Cotton,Solid,299,999
P0035,V-DRE-0035,Sundress with Pockets,Green Floral Crepe Sundress with Pockets with cap sleeves sleeves round neck,DRESS,Green,Crepe,Floral,599,1999
P0036,V-DRE-0036,Sundress with Pockets,Pink Printed Cotton Sundress with Pockets with cap sleeves sleeves square neck,DRESS,Pink,Cotton,Printed,599,1999
P0037,V-SAL-0037,Traditional Salwar,Navy Printed Georgette Traditional Salwar palazzo fit,SALWAR,Navy,Georgette,Printed,399,1299
P0038,V-JEA-0038,Slim Fit Denim Jeans,Dark Blue Raw Denim Slim Fit Denim Jeans slim fit,JEANS,Dark Blue,Raw Denim,Solid,799,2499
P0039,V-TSH-0039,Henley Style T-Shirt,Pink Graphic Organic Cotton Henley Style T-Shirt with short sleeves crew neck,TSHIRT,Pink,Organic Cotton,Graphic,199,799
P0040,V-POL-0040,Performance Polo,Navy Stripes Cotton Performance Polo with long sleeves,POLO,Navy,Cotton,Stripes,299,999
P0041,V-JEA-0041,Vintage Wash Jeans,Blue Raw Denim Vintage Wash Jeans bootcut fit,JEANS,Blue,Raw Denim,Solid,799,2499
P0042,V-KUR-0042,Anarkali Kurta,Red Printed Linen Anarkali Kurta with long sleeves boat neck neck,KURTA,Red,Linen,Printed,499,1999
P0043,V-DRE-0043,Linen Blend Dress,Floral Abstract Georgette Linen Blend Dress with sleeveless sleeves round neck,DRESS,Floral,Georgette,Abstract,599,1999
P0044,V-TSH-0044,Striped Casual Tee,Black Modal Striped Casual Tee with sleeveless sleeves v-neck neck,TSHIRT,Black,Modal,Solid,199,799
P0045,V-SHI-0045,Oxford Button-Down Shirt,White Checks Cotton Blend Oxford Button-Down Shirt with long sleeves band collar neck,SHIRT,White,Cotton Blend,Checks,399,1499
P0046,V-DRE-0046,Cocktail Dress,Floral Geometric Linen Cocktail Dress with short sleeves halter neck,DRESS,Floral,Linen,Geometric,599,1999
P0047,V-SHI-0047,Poplin Dress Shirt,Blue Stripes Cotton Poplin Dress Shirt with short sleeves,SHIRT,Blue,Cotton,Stripes,399,1499
P0048,V-DRE-0048,Bodycon Party Dress,Blue Polka Dots Chiffon Bodycon Party Dress with sleeveless sleeves v-neck neck,DRESS,Blue,Chiffon,Polka Dots,599,1999
P0049,V-SHI-0049,Flannel Shirt,Black Poplin Flannel Shirt with short sleeves button-down neck,SHIRT,Black,Poplin,Solid,399,1499
P0050,V-SAL-0050,Solid Color Salwar,Black Embroidered Cotton Solid Color Salwar churidar fit,SALWAR,Black,Cotton,Embroidered,399,1299
P0051,V-SHI-0051,Oxford Button-Down Shirt,Striped Printed Poplin Oxford Button-Down Shirt with short sleeves,SHIRT,Striped,Poplin,Printed,399,1499
P0052,V-POL-0052,Golf Polo Shirt,White Embroidered Pique Cotton Golf Polo Shirt with short sleeves,POLO,White,Pique Cotton,Embroidered,299,999
P0053,V-DRE-0053,A-Line Summer Dress,White Chiffon A-Line Summer Dress with sleeveless sleeves v-neck neck,DRESS,White,Chiffon,Solid,599,1999
P0054,V-JEA-0054,Black Denim Jeans,Gray Vintage Wash Denim Black Denim Jeans regular fit,JEANS,Gray,Denim,Vintage Wash,799,2499
P0055,V-DRE-0055,Casual Midi Dress,Black Floral Crepe Casual Midi Dress with sleeveless sleeves off-shoulder neck,DRESS,Black,Crepe,Floral,599,1999
P0056,V-JEA-0056,Straight Leg Jeans,Dark Blue Denim Straight Leg Jeans slim fit,JEANS,Dark Blue,Denim,Solid,799,2499
P0057,V-TOP-0057,Cold Shoulder Top,Printed Floral Polyester Cold Shoulder Top with three-quarter sleeves off-shoulder neck,TOP,Printed,Polyester,Floral,299,899
P0058,V-JEA-0058,Relaxed Fit Jeans,Dark Blue Faded Denim Relaxed Fit Jeans relaxed fit,JEANS,Dark Blue,Denim,Faded,799,2499
P0059,V-SHI-0059,Casual Linen Shirt,Black Denim Cotton Blend Casual Linen Shirt with long sleeves button-down neck,SHIRT,Black,Cotton Blend,Denim,399,1499
P0060,V-KUR-0060,Cotton Kurta,Green Printed Cotton Cotton Kurta with three-quarter sleeves mandarin neck,KURTA,Green,Cotton,Printed,499,1999
P0061,V-TSH-0061,Premium Cotton Tee,Green Printed Modal Premium Cotton Tee with sleeveless sleeves scoop neck,TSHIRT,Green,Modal,Printed,199,799
P0062,V-SAL-0062,Wide Leg Salwar,White Printed Cotton Wide Leg Salwar palazzo fit,SALWAR,White,Cotton,Printed,399,1299
P0063,V-TSH-0063,Organic Cotton T-Shirt,White Graphic Organic Cotton Organic Cotton T-Shirt with sleeveless sleeves v-neck neck,TSHIRT,White,Organic Cotton,Graphic,199,799
P0064,V-KUR-0064,A-Line Kurta,Red Geometric Cotton A-Line Kurta with long sleeves round neck,KURTA,Red,Cotton,Geometric,499,1999
P0065,V-SHI-0065,Flannel Shirt,Checked Printed Cotton Blend Flannel Shirt with long sleeves band collar neck,SHIRT,Checked,Cotton Blend,Printed,399,1499
P0066,V-SHI-0066,Flannel Shirt,Blue Printed Linen Flannel Shirt with long sleeves button-down neck,SHIRT,Blue,Linen,Printed,399,1499
P0067,V-DRE-0067,Boho Chic Dress,Floral Abstract Linen Boho Chic Dress with short sleeves square neck,DRESS,Floral,Linen,Abstract,599,1999
P0068,V-SHI-0068,Checked Pattern Shirt,Striped Denim Poplin Checked Pattern Shirt with long sleeves band collar neck,SHIRT,Striped,Poplin,Denim,399,1499
P0069,V-TOP-0069,Tunic Top,Pink Floral Polyester Tunic Top with sleeveless sleeves round neck,TOP,Pink,Polyester,Floral,299,899
P0070,V-SHI-0070,Flannel Shirt,Black Chambray Flannel Shirt with short sleeves button-down neck,SHIRT,Black,Chambray,Solid,399,1499
P0071,V-SHI-0071,Checked Pattern Shirt,Blue Linen Checked Pattern Shirt with short sleeves,SHIRT,Blue,Linen,Solid,399,1499
P0072,V-TOP-0072,Knot Front Top,Red Floral Cotton Knot Front Top with sleeveless sleeves halter neck,TOP,Red,Cotton,Floral,299,899
P0073,V-TOP-0073,Wrap Top,Black Polyester Wrap Top with short sleeves halter neck,TOP,Black,Polyester,Solid,299,899
P0074,V-JEA-0074,Skinny Fit Jeans,Light Blue Vintage Wash Raw Denim Skinny Fit Jeans straight fit,JEANS,Light Blue,Raw Denim,Vintage Wash,799,2499
P0075,V-JEA-0075,Regular Fit Jeans,Black Vintage Wash Stretch Denim Regular Fit Jeans skinny fit,JEANS,Black,Stretch Denim,Vintage Wash,799,2499
P0076,V-SAL-0076,Ankle Length Salwar,Navy Striped Georgette Ankle Length Salwar wide leg fit,SALWAR,Navy,Georgette,Striped,399,1299
P0077,V-SHI-0077,Checked Pattern Shirt,Striped Printed Cotton Blend Checked Pattern Shirt with short sleeves band collar neck,SHIRT,Striped,Cotton Blend,Printed,399,1499
P0078,V-TOP-0078,Peplum Top,Black Striped Linen Peplum Top with three-quarter sleeves off-shoulder neck,TOP,Black,Linen,Striped,299,899
P0079,V-POL-0079,Performance Polo,Gray Color Block Pique Cotton Performance Polo with short sleeves,POLO,Gray,Pique Cotton,Color Block,299,999
P0080,V-POL-0080,Premium Cotton Polo,Blue Color Block Performance Fabric Premium Cotton Polo with long sleeves,POLO,Blue,Performance Fabric,Color Block,299,999
P0081,V-JEA-0081,High Waist Jeans,Light Blue Stretch Denim High Waist Jeans skinny fit,JEANS,Light Blue,Stretch Denim,Solid,799,2499
P0082,V-TSH-0082,Oversized Comfort T-Shirt,Green Logo Cotton Blend Oversized Comfort T-Shirt with sleeveless sleeves v-neck neck,TSHIRT,Green,Cotton Blend,Logo,199,799
P0083,V-TOP-0083,Cold Shoulder Top,Red Floral Linen Cold Shoulder Top with short sleeves halter neck,TOP,Red,Linen,Floral,299,899
P0084,V-KUR-0084,Festive Kurta,Blue Floral Silk Festive Kurta with short sleeves round neck,KURTA,Blue,Silk,Floral,499,1999
P0085,V-SAL-0085,Wide Leg Salwar,Black Striped Cotton Wide Leg Salwar churidar fit,SALWAR,Black,Cotton,Striped,399,1299
P0086,V-TOP-0086,Off-Shoulder Top,Navy Floral Cotton Off-Shoulder Top with three-quarter sleeves v-neck neck,TOP,Navy,Cotton,Floral,299,899
P0087,V-TOP-0087,Tie-Up Top,Printed Floral Linen Tie-Up Top with three-quarter sleeves halter neck,TOP,Printed,Linen,Floral,299,899
P0088,V-SHI-0088,Casual Linen Shirt,White Denim Poplin Casual Linen Shirt with short sleeves band collar neck,SHIRT,White,Poplin,Denim,399,1499
P0089,V-JEA-0089,Black Denim Jeans,Dark Blue Denim Black Denim Jeans regular fit,JEANS,Dark Blue,Denim,Solid,799,2499
P0090,V-JEA-0090,Slim Fit Denim Jeans,Black Faded Raw Denim Slim Fit Denim Jeans skinny fit,JEANS,Black,Raw Denim,Faded,799,2499
P0091,V-POL-0091,Color Block Polo,Maroon Embroidered Pique Cotton Color Block Polo with long sleeves,POLO,Maroon,Pique Cotton,Embroidered,299,999
P0092,V-POL-0092,Performance Polo,Navy Cotton Blend Performance Polo with long sleeves,POLO,Navy,Cotton Blend,Solid,299,999
P0093,V-SAL-0093,Traditional Salwar,Black Printed Linen Traditional Salwar regular fit,SALWAR,Black,Linen,Printed,399,1299
P0094,V-SHI-0094,Poplin Dress Shirt,White Denim Chambray Poplin Dress Shirt with short sleeves band collar neck,SHIRT,White,Chambray,Denim,399,1499
P0095,V-SAL-0095,Trouser Style Salwar,Black Embroidered Chiffon Trouser Style Salwar regular fit,SALWAR,Black,Chiffon,Embroidered,399,1299
P0096,V-SAL-0096,Elastic Waist Salwar,White Embroidered Cotton Elastic Waist Salwar wide leg fit,SALWAR,White,Cotton,Embroidered,399,1299
P0097,V-DRE-0097,Sundress with Pockets,Yellow Polka Dots Polyester Sundress with Pockets with sleeveless sleeves halter neck,DRESS,Yellow,Polyester,Polka Dots,599,1999
P0098,V-TOP-0098,Tunic Top,Printed Striped Chiffon Tunic Top with three-quarter sleeves v-neck neck,TOP,Printed,Chiffon,Striped,299,899
P0099,V-POL-0099,Striped Polo Shirt,Gray Color Block Performance Fabric Striped Polo Shirt with long sleeves,POLO,Gray,Performance Fabric,Color Block,299,999
P0100,V-TSH-0100,Striped Casual Tee,Navy Logo Cotton Blend Striped Casual Tee with short sleeves scoop neck,TSHIRT,Navy,Cotton Blend,Logo,199,799
P0101,V-SHI-0101,Short Sleeve Shirt,Striped Stripes Cotton Blend Short Sleeve Shirt with short sleeves button-down neck,SHIRT,Striped,Cotton Blend,Stripes,399,1499
P0102,V-JEA-0102,Regular Fit Jeans,Dark Blue Vintage Wash Denim Regular Fit Jeans straight fit,JEANS,Dark Blue,Denim,Vintage Wash,799,2499
P0103,V-JEA-0103,Wide Leg Jeans,Dark Blue Vintage Wash Stretch Denim Wide Leg Jeans slim fit,JEANS,Dark Blue,Stretch Denim,Vintage Wash,799,2499
P0104,V-POL-0104,Striped Polo Shirt,Red Stripes Pique Cotton Striped Polo Shirt with long sleeves,POLO,Red,Pique Cotton,Stripes,299,999
P0105,V-TOP-0105,Blouse Style Top,Red Striped Linen Blouse Style Top with three-quarter sleeves halter neck,TOP,Red,Linen,Striped,299,899
P0106,V-SHI-0106,Striped Business Shirt,Blue Cotton Blend Striped Business Shirt with short sleeves band collar neck,SHIRT,Blue,Cotton Blend,Solid,399,1499
P0107,V-POL-0107,Golf Polo Shirt,Gray Stripes Pique Cotton Golf Polo Shirt with long sleeves,POLO,Gray,Pique Cotton,Stripes,299,999
P0108,V-SHI-0108,Casual Linen Shirt,Black Checks Linen Casual Linen Shirt with long sleeves,SHIRT,Black,Linen,Checks,399,1499
P0109,V-SHI-0109,Formal Cotton Shirt,Blue Stripes Chambray Formal Cotton Shirt with short sleeves,SHIRT,Blue,Chambray,Stripes,399,1499
P0110,V-SHI-0110,Relaxed Fit Shirt,Checked Printed Linen Relaxed Fit Shirt with short sleeves,SHIRT,Checked,Linen,Printed,399,1499
P0111,V-SHI-0111,Denim Shirt,Gray Stripes Poplin Denim Shirt with short sleeves,SHIRT,Gray,Poplin,Stripes,399,1499
P0112,V-SHI-0112,Denim Shirt,White Printed Cotton Denim Shirt with long sleeves,SHIRT,White,Cotton,Printed,399,1499
P0113,V-TSH-0113,V-Neck Casual T-Shirt,Red Polyester V-Neck Casual T-Shirt with short sleeves crew neck,TSHIRT,Red,Polyester,Solid,199,799
P0114,V-SAL-0114,Wide Leg Salwar,Printed Striped Linen Wide Leg Salwar wide leg fit,SALWAR,Printed,Linen,Striped,399,1299
P0115,V-TOP-0115,Ruffle Sleeve Top,Navy Chiffon Ruffle Sleeve Top with short sleeves v-neck neck,TOP,Navy,Chiffon,Solid,299,899
P0116,V-JEA-0116,Straight Leg Jeans,Blue Faded Raw Denim Straight Leg Jeans regular fit,JEANS,Blue,Raw Denim,Faded,799,2499
P0117,V-POL-0117,Performance Polo,Red Color Block Cotton Performance Polo with long sleeves,POLO,Red,Cotton,Color Block,299,999
P0118,V-TSH-0118,Relaxed Fit T-Shirt,Red Abstract Cotton Blend Relaxed Fit T-Shirt with long sleeves crew neck,TSHIRT,Red,Cotton Blend,Abstract,199,799
P0119,V-JEA-0119,Straight Leg Jeans,Light Blue Faded Raw Denim Straight Leg Jeans slim fit,JEANS,Light Blue,Raw Denim,Faded,799,2499
P0120,V-JEA-0120,Black Denim Jeans,Gray Faded Denim Black Denim Jeans slim fit,JEANS,Gray,Denim,Faded,799,2499
P0121,V-DRE-0121,Bodycon Party Dress,Floral Abstract Linen Bodycon Party Dress with short sleeves off-shoulder neck,DRESS,Floral,Linen,Abstract,599,1999
P0122,V-SHI-0122,Relaxed Fit Shirt,Black Denim Poplin Relaxed Fit Shirt with long sleeves band collar neck,SHIRT,Black,Poplin,Denim,399,1499
P0123,V-POL-0123,Color Block Polo,Red Embroidered Cotton Color Block Polo with long sleeves,POLO,Red,Cotton,Embroidered,299,999
P0124,V-POL-0124,Long Sleeve Polo,Green Cotton Long Sleeve Polo with short sleeves,POLO,Green,Cotton,Solid,299,999
P0125,V-TOP-0125,Ruffle Sleeve Top,Pink Floral Polyester Ruffle Sleeve Top with bell sleeves sleeves round neck,TOP,Pink,Polyester,Floral,299,899
P0126,V-TOP-0126,Tie-Up Top,Navy Striped Chiffon Tie-Up Top with short sleeves v-neck neck,TOP,Navy,Chiffon,Striped,299,899
P0127,V-KUR-0127,A-Line Kurta,Green Floral Silk A-Line Kurta with three-quarter sleeves round neck,KURTA,Green,Silk,Floral,499,1999
P0128,V-TOP-0128,Peplum Top,Navy Striped Linen Peplum Top with short sleeves halter neck,TOP,Navy,Linen,Striped,299,899
P0129,V-TSH-0129,Ribbed Knit Tee,Yellow Logo Modal Ribbed Knit Tee with short sleeves v-neck neck,TSHIRT,Yellow,Modal,Logo,199,799
P0130,V-KUR-0130,Casual Kurta,Printed Silk Casual Kurta with short sleeves mandarin neck,KURTA,Printed,Silk,Solid,499,1999
P0131,V-DRE-0131,Bodycon Party Dress,Green Crepe Bodycon Party Dress with short sleeves halter neck,DRESS,Green,Crepe,Solid,599,1999
P0132,V-JEA-0132,Wide Leg Jeans,Gray Denim Wide Leg Jeans slim fit,JEANS,Gray,Denim,Solid,799,2499
P0133,V-JEA-0133,Regular Fit Jeans,Blue Faded Stretch Denim Regular Fit Jeans bootcut fit,JEANS,Blue,Stretch Denim,Faded,799,2499
P0134,V-SHI-0134,Flannel Shirt,Gray Printed Cotton Blend Flannel Shirt with long sleeves,SHIRT,Gray,Cotton Blend,Printed,399,1499
P0135,V-TOP-0135,Blouse Style Top,Red Printed Polyester Blouse Style Top with sleeveless sleeves round neck,TOP,Red,Polyester,Printed,299,899
P0136,V-SHI-0136,Long Sleeve Casual Shirt,Striped Stripes Cotton Blend Long Sleeve Casual Shirt with short sleeves band collar neck,SHIRT,Striped,Cotton Blend,Stripes,399,1499
P0137,V-SHI-0137,Chambray Shirt,Checked Printed Chambray Chambray Shirt with short sleeves band collar neck,SHIRT,Checked,Chambray,Printed,399,1499
P0138,V-TOP-0138,Tie-Up Top,Pink Floral Linen Tie-Up Top with bell sleeves sleeves off-shoulder neck,TOP,Pink,Linen,Floral,299,899
P0139,V-JEA-0139,Wide Leg Jeans,Light Blue Vintage Wash Denim Wide Leg Jeans skinny fit,JEANS,Light Blue,Denim,Vintage Wash,799,2499
P0140,V-TSH-0140,Oversized Comfort T-Shirt,Green Logo Organic Cotton Oversized Comfort T-Shirt with sleeveless sleeves v-neck neck,TSHIRT,Green,Organic Cotton,Logo,199,799
P0141,V-TOP-0141,Crop Top,Pink Striped Polyester Crop Top with short sleeves halter neck,TOP,Pink,Polyester,Striped,299,899
P0142,V-POL-0142,Business Casual Polo,White Stripes Performance Fabric Business Casual Polo with long sleeves,POLO,White,Performance Fabric,Stripes,299,999
P0143,V-POL-0143,Athletic Fit Polo,Blue Color Block Cotton Blend Athletic Fit Polo with short sleeves,POLO,Blue,Cotton Blend,Color Block,299,999
P0144,V-SAL-0144,Designer Salwar,Printed Georgette Designer Salwar regular fit,SALWAR,Printed,Georgette,Solid,399,1299
P0145,V-JEA-0145,Black Denim Jeans,Gray Faded Raw Denim Black Denim Jeans skinny fit,JEANS,Gray,Raw Denim,Faded,799,2499
P0146,V-POL-0146,Mesh Polo Shirt,Maroon Stripes Cotton Mesh Polo Shirt with long sleeves,POLO,Maroon,Cotton,Stripes,299,999
P0147,V-TSH-0147,Oversized Comfort T-Shirt,Red Printed Cotton Oversized Comfort T-Shirt with long sleeves henley neck,TSHIRT,Red,Cotton,Printed,199,799
P0148,V-DRE-0148,Wrap Style Dress,Pink Geometric Linen Wrap Style Dress with long sleeves v-neck neck,DRESS,Pink,Linen,Geometric,599,1999
P0149,V-DRE-0149,Floral Print Maxi Dress,Pink Geometric Linen Floral Print Maxi Dress with long sleeves off-shoulder neck,DRESS,Pink,Linen,Geometric,599,1999
P0150,V-DRE-0150,Wrap Style Dress,Floral Abstract Crepe Wrap Style Dress with sleeveless sleeves round neck,DRESS,Floral,Crepe,Abstract,599,1999
P0151,V-TOP-0151,Ruffle Sleeve Top,White Floral Polyester Ruffle Sleeve Top with three-quarter sleeves off-shoulder neck,TOP,White,Polyester,Floral,299,899
P0152,V-SAL-0152,Traditional Salwar,White Embroidered Chiffon Traditional Salwar churidar fit,SALWAR,White,Chiffon,Embroidered,399,1299
P0153,V-SAL-0153,Elastic Waist Salwar,Navy Striped Cotton Elastic Waist Salwar palazzo fit,SALWAR,Navy,Cotton,Striped,399,1299
P0154,V-SHI-0154,Relaxed Fit Shirt,White Printed Cotton Blend Relaxed Fit Shirt with long sleeves,SHIRT,White,Cotton Blend,Printed,399,1499
P0155,V-TSH-0155,Henley Style T-Shirt,Red Stripes Organic Cotton Henley Style T-Shirt with sleeveless sleeves scoop neck,TSHIRT,Red,Organic Cotton,Stripes,199,799
P0156,V-JEA-0156,Black Denim Jeans,Light Blue Distressed Denim Black Denim Jeans bootcut fit,JEANS,Light Blue,Denim,Distressed,799,2499
P0157,V-POL-0157,Mesh Polo Shirt,Green Color Block Cotton Mesh Polo Shirt with short sleeves,POLO,Green,Cotton,Color Block,299,999
P0158,V-DRE-0158,Floral Print Maxi Dress,White Polka Dots Chiffon Floral Print Maxi Dress with cap sleeves sleeves v-neck neck,DRESS,White,Chiffon,Polka Dots,599,1999
P0159,V-JEA-0159,Skinny Fit Jeans,Gray Distressed Raw Denim Skinny Fit Jeans relaxed fit,JEANS,Gray,Raw Denim,Distressed,799,2499
P0160,V-TOP-0160,Ruffle Sleeve Top,Printed Linen Ruffle Sleeve Top with bell sleeves sleeves round neck,TOP,Printed,Linen,Solid,299,899
P0161,V-DRE-0161,Wrap Style Dress,Pink Geometric Georgette Wrap Style Dress with sleeveless sleeves round neck,DRESS,Pink,Georgette,Geometric,599,1999
P0162,V-SAL-0162,Cotton Salwar,Printed Chiffon Cotton Salwar wide leg fit,SALWAR,Printed,Chiffon,Solid,399,1299
P0163,V-KUR-0163,Festive Kurta,Yellow Embroidered Chiffon Festive Kurta with short sleeves v-neck neck,KURTA,Yellow,Chiffon,Embroidered,499,1999
P0164,V-TOP-0164,Crop Top,Pink Printed Linen Crop Top with short sleeves halter neck,TOP,Pink,Linen,Printed,299,899
P0165,V-SHI-0165,Poplin Dress Shirt,White Checks Poplin Poplin Dress Shirt with short sleeves,SHIRT,White,Poplin,Checks,399,1499
P0166,V-SHI-0166,Denim Shirt,White Checks Cotton Denim Shirt with short sleeves band collar neck,SHIRT,White,Cotton,Checks,399,1499
P0167,V-TOP-0167,Tie-Up Top,Pink Printed Chiffon Tie-Up Top with bell sleeves sleeves round neck,TOP,Pink,Chiffon,Printed,299,899
P0168,V-TOP-0168,Knot Front Top,Navy Chiffon Knot Front Top with three-quarter sleeves v-neck neck,TOP,Navy,Chiffon,Solid,299,899
P0169,V-TOP-0169,Tunic Top,Printed Striped Polyester Tunic Top with short sleeves off-shoulder neck,TOP,Printed,Polyester,Striped,299,899
P0170,V-KUR-0170,Cotton Kurta,Green Printed Silk Cotton Kurta with short sleeves boat neck neck,KURTA,Green,Silk,Printed,499,1999
P0171,V-POL-0171,Mesh Polo Shirt,White Pique Cotton Mesh Polo Shirt with long sleeves,POLO,White,Pique Cotton,Solid,299,999
P0172,V-DRE-0172,Boho Chic Dress,Navy Geometric Polyester Boho Chic Dress with long sleeves halter neck,DRESS,Navy,Polyester,Geometric,599,1999
P0173,V-JEA-0173,Relaxed Fit Jeans,Black Stretch Denim Relaxed Fit Jeans regular fit,JEANS,Black,Stretch Denim,Solid,799,2499
P0174,V-DRE-0174,Office Formal Dress,Red Chiffon Office Formal Dress with short sleeves v-neck neck,DRESS,Red,Chiffon,Solid,599,1999
P0175,V-TSH-0175,Oversized Comfort T-Shirt,Blue Polyester Oversized Comfort T-Shirt with short sleeves scoop neck,TSHIRT,Blue,Polyester,Solid,199,799
P0176,V-TSH-0176,V-Neck Casual T-Shirt,Pink Organic Cotton V-Neck Casual T-Shirt with sleeveless sleeves crew neck,TSHIRT,Pink,Organic Cotton,Solid,199,799
P0177,V-TOP-0177,Tunic Top,Pink Linen Tunic Top with bell sleeves sleeves v-neck neck,TOP,Pink,Linen,Solid,299,899
P0178,V-TSH-0178,Organic Cotton T-Shirt,Red Logo Modal Organic Cotton T-Shirt with sleeveless sleeves crew neck,TSHIRT,Red,Modal,Logo,199,799
P0179,V-TSH-0179,Striped Casual Tee,Green Abstract Organic Cotton Striped Casual Tee with short sleeves henley neck,TSHIRT,Green,Organic Cotton,Abstract,199,799
P0180,V-TOP-0180,Peplum Top,Navy Printed Cotton Peplum Top with short sleeves v-neck neck,TOP,Navy,Cotton,Printed,299,899
