store_id,sku,on_hand,in_transit,reorder_point,safety_stock
store_042,P0004,211,13,63,42
store_043,P0004,74,0,22,14
store_044,P0004,109,0,32,21
store_045,P0004,39,13,11,7
store_046,P0004,93,0,27,18
store_047,P0004,97,0,29,19
store_048,P0004,50,0,15,10
store_050,P0004,84,0,25,16
store_001,P0005,55,45,16,11
store_002,P0005,144,22,43,28
store_003,P0005,113,0,33,22
store_004,P0005,73,0,21,14
store_005,P0005,104,0,31,20
store_006,P0005,26,0,7,5
store_007,P0005,88,0,26,17
store_012,P0005,34,0,10,6
store_013,P0005,52,0,15,10
store_015,P0005,68,0,20,13
store_017,P0005,55,0,16,11
store_018,P0005,27,0,8,5
store_019,P0005,48,0,14,9
store_020,P0005,43,0,12,8
store_023,P0005,121,34,36,24
store_025,P0005,89,0,26,17
store_027,P0005,35,0,10,7
store_028,P0005,137,0,41,27
store_031,P0005,130,0,39,26
store_032,P0005,52,0,15,10
store_033,P0005,86,0,25,17
store_034,P0005,13,0,3,2
store_035,P0005,50,0,15,10
store_037,P0005,46,0,13,9
store_039,P0005,42,11,12,8
store_041,P0005,10,38,3,2
store_043,P0005,62,7,18,12
store_045,P0005,9,23,2,1
store_048,P0005,18,0,5,3
store_049,P0005,41,16,12,8
store_050,P0005,43,13,12,8
store_001,P0006,27,0,8,5
store_002,P0006,156,0,46,31
store_006,P0006,59,0,17,11
store_007,P0006,111,0,33,22
store_008,P0006,4,0,1,0
store_009,P0006,209,18,62,41
store_010,P0006,29,14,8,5
store_012,P0006,34,49,10,6
store_013,P0006,124,24,37,24
store_014,P0006,43,3,12,8
store_015,P0006,123,0,36,24
store_016,P0006,73,50,21,14
store_017,P0006,17,0,5,3
store_018,P0006,11,0,3,2
store_019,P0006,118,0,35,23
store_020,P0006,59,45,17,11
store_021,P0006,96,42,28,19
store_022,P0006,60,23,18,12
store_023,P0006,39,0,11,7
store_026,P0006,259,0,77,51
store_027,P0006,75,20,22,15
store_028,P0006,36,29,10,7
store_029,P0006,99,0,29,19
store_030,P0006,126,0,37,25
store_031,P0006,66,0,19,13
store_033,P0006,7,0,2,1
store_035,P0006,18,0,5,3
store_036,P0006,43,0,12,8
store_037,P0006,156,0,46,31
store_039,P0006,30,0,9,6
store_040,P0006,91,0,27,18
store_042,P0006,112,0,33,22
store_044,P0006,69,0,20,13
store_045,P0006,4,0,1,0
store_047,P0006,62,0,18,12
store_048,P0006,175,0,52,35
store_050,P0006,186,28,55,37
store_003,P0007,82,10,24,16
store_005,P0007,111,0,33,22
store_006,P0007,177,27,53,35
store_007,P0007,42,32,12,8
store_008,P0007,135,0,40,27
store_009,P0007,241,0,72,48
store_010,P0007,116,0,34,23
store_011,P0007,168,0,50,33
store_012,P0007,42,0,12,8
store_013,P0007,121,0,36,24
store_015,P0007,104,0,31,20
store_016,P0007,53,20,15,10
store_017,P0007,26,0,7,5
store_019,P0007,278,15,83,55
store_021,P0007,92,0,27,18
store_022,P0007,71,0,21,14
store_023,P0007,122,0,36,24
store_025,P0007,67,0,20,13
store_028,P0007,52,0,15,10
store_029,P0007,92,0,27,18
store_030,P0007,47,0,14,9
store_031,P0007,24,7,7,4
store_032,P0007,63,46,18,12
store_033,P0007,25,0,7,5
store_034,P0007,141,0,42,28
store_035,P0007,58,35,17,11
store_036,P0007,144,0,43,28
store_038,P0007,47,0,14,9
store_039,P0007,31,0,9,6
store_041,P0007,106,0,31,21
store_045,P0007,63,45,18,12
store_046,P0007,67,0,20,13
store_047,P0007,16,0,4,3
store_049,P0007,29,45,8,5
store_050,P0007,241,0,72,48
store_002,P0008,70,39,21,14
store_003,P0008,186,0,55,37
store_005,P0008,59,38,17,11
store_006,P0008,27,0,8,5
store_008,P0008,62,0,18,12
store_009,P0008,109,13,32,21
store_010,P0008,75,0,22,15
store_014,P0008,33,22,9,6
store_016,P0008,283,0,84,56
store_017,P0008,25,17,7,5
store_018,P0008,40,42,12,8
store_019,P0008,70,0,21,14
store_020,P0008,13,9,3,2
store_022,P0008,64,45,19,12
store_023,P0008,67,8,20,13
store_024,P0008,68,19,20,13
store_025,P0008,36,46,10,7
store_026,P0008,139,0,41,27
store_027,P0008,15,0,4,3
store_028,P0008,116,22,34,23
store_030,P0008,23,0,6,4
store_032,P0008,103,45,30,20
store_033,P0008,58,40,17,11
store_037,P0008,24,17,7,4
store_038,P0008,79,13,23,15
store_040,P0008,33,0,9,6
store_041,P0008,59,8,17,11
store_042,P0008,48,17,14,9
store_043,P0008,189,0,56,37
store_044,P0008,17,33,5,3
store_045,P0008,36,0,10,7
store_046,P0008,86,46,25,17
store_047,P0008,103,0,30,20
store_049,P0008,118,0,35,23
store_050,P0008,64,0,19,12
store_001,P0009,140,11,42,28
store_002,P0009,155,0,46,31
store_003,P0009,58,0,17,11
store_004,P0009,53,0,15,10
store_005,P0009,160,0,48,32
store_006,P0009,152,0,45,30
store_007,P0009,36,0,10,7
store_008,P0009,51,2,15,10
store_009,P0009,145,0,43,29
store_011,P0009,13,0,3,2
store_012,P0009,99,0,29,19
store_013,P0009,29,0,8,5
store_018,P0009,77,0,23,15
store_019,P0009,158,13,47,31
store_021,P0009,11,0,3,2
store_023,P0009,51,0,15,10
store_024,P0009,13,0,3,2
store_025,P0009,81,0,24,16
store_026,P0009,129,0,38,25
store_028,P0009,138,0,41,27
store_029,P0009,109,12,32,21
store_030,P0009,31,0,9,6
store_031,P0009,15,0,4,3
store_032,P0009,67,48,20,13
store_035,P0009,215,0,64,43
store_036,P0009,46,0,13,9
store_037,P0009,129,0,38,25
store_039,P0009,62,0,18,12
store_040,P0009,33,0,9,6
store_041,P0009,126,0,37,25
store_042,P0009,124,0,37,24
store_045,P0009,49,25,14,9
store_046,P0009,214,24,64,42
store_047,P0009,33,0,9,6
store_049,P0009,67,41,20,13
store_050,P0009,96,27,28,19
store_001,P0010,42,0,12,8
store_005,P0010,126,0,37,25
store_007,P0010,108,0,32,21
store_008,P0010,33,46,9,6
store_009,P0010,190,13,57,38
store_010,P0010,44,0,13,8
store_012,P0010,90,0,27,18
store_013,P0010,41,1,12,8
store_014,P0010,105,0,31,21
store_015,P0010,47,0,14,9
store_016,P0010,141,15,42,28
store_017,P0010,10,0,3,2
store_018,P0010,101,0,30,20
store_020,P0010,107,17,32,21
store_022,P0010,63,0,18,12
store_023,P0010,89,22,26,17
store_025,P0010,23,0,6,4
store_026,P0010,97,0,29,19
store_028,P0010,56,0,16,11
store_029,P0010,44,0,13,8
store_030,P0010,46,32,13,9
store_031,P0010,32,0,9,6
store_032,P0010,7,0,2,1
store_033,P0010,56,10,16,11
store_034,P0010,8,0,2,1
store_035,P0010,70,0,21,14
store_037,P0010,41,0,12,8
store_038,P0010,4,0,1,0
store_039,P0010,67,49,20,13
store_040,P0010,12,0,3,2
store_041,P0010,185,0,55,37
store_042,P0010,38,0,11,7
store_045,P0010,6,0,1,1
store_047,P0010,80,0,24,16
store_048,P0010,39,0,11,7
store_049,P0010,18,21,5,3
store_050,P0010,382,0,114,76
store_001,P0011,61,3,18,12
store_003,P0011,20,23,6,4
store_004,P0011,84,0,25,16
store_005,P0011,149,25,44,29
store_006,P0011,108,47,32,21
store_008,P0011,63,0,18,12
store_009,P0011,288,47,86,57
store_011,P0011,183,19,54,36
store_012,P0011,18,2,5,3
store_013,P0011,48,0,14,9
store_015,P0011,70,0,21,14
store_016,P0011,63,0,18,12
store_017,P0011,68,0,20,13
store_020,P0011,58,32,17,11
store_022,P0011,66,0,19,13
store_023,P0011,121,47,36,24
store_024,P0011,52,0,15,10
store_025,P0011,95,24,28,19
store_026,P0011,110,0,33,22
store_027,P0011,100,0,30,20
store_028,P0011,43,20,12,8
store_029,P0011,190,0,57,38
store_030,P0011,56,0,16,11
store_031,P0011,69,49,20,13
store_033,P0011,6,0,1,1
store_034,P0011,16,0,4,3
store_036,P0011,73,48,21,14
store_037,P0011,105,0,31,21
store_038,P0011,22,0,6,4
store_039,P0011,123,0,36,24
store_040,P0011,12,0,3,2
store_041,P0011,173,20,51,34
store_042,P0011,79,0,23,15
store_044,P0011,25,0,7,5
store_047,P0011,75,0,22,15
store_048,P0011,53,0,15,10
store_049,P0011,112,0,33,22
store_050,P0011,15,0,4,3
store_001,P0012,163,0,48,32
store_002,P0012,20,0,6,4
store_004,P0012,12,31,3,2
store_005,P0012,26,0,7,5
store_008,P0012,35,47,10,7
store_009,P0012,53,0,15,10
store_011,P0012,44,0,13,8
store_013,P0012,21,0,6,4
store_014,P0012,29,0,8,5
store_015,P0012,9,10,2,1
store_016,P0012,158,0,47,31
store_017,P0012,36,0,10,7
store_020,P0012,33,0,9,6
store_021,P0012,61,41,18,12
store_022,P0012,28,37,8,5
store_023,P0012,155,0,46,31
store_025,P0012,113,0,33,22
store_026,P0012,42,0,12,8
store_027,P0012,5,0,1,1
store_028,P0012,22,24,6,4
store_029,P0012,95,22,28,19
store_032,P0012,127,0,38,25
store_036,P0012,43,5,12,8
store_037,P0012,83,0,24,16
store_038,P0012,25,20,7,5
store_039,P0012,153,0,45,30
store_040,P0012,19,29,5,3
store_041,P0012,150,0,45,30
store_043,P0012,21,0,6,4
store_044,P0012,13,32,3,2
store_045,P0012,70,31,21,14
store_046,P0012,145,39,43,29
store_048,P0012,85,0,25,17
store_050,P0012,214,27,64,42
store_001,P0013,26,22,7,5
store_002,P0013,98,0,29,19
store_003,P0013,121,0,36,24
store_004,P0013,92,0,27,18
store_005,P0013,50,0,15,10
store_006,P0013,73,43,21,14
store_009,P0013,55,25,16,11
store_010,P0013,83,0,24,16
store_012,P0013,99,0,29,19
store_014,P0013,158,44,47,31
store_015,P0013,85,3,25,17
store_016,P0013,131,0,39,26
store_019,P0013,77,0,23,15
store_020,P0013,177,0,53,35
store_021,P0013,33,0,9,6
store_022,P0013,178,0,53,35
store_023,P0013,47,0,14,9
store_026,P0013,33,0,9,6
store_027,P0013,25,0,7,5
store_028,P0013,28,0,8,5
store_029,P0013,178,0,53,35
store_030,P0013,58,3,17,11
store_031,P0013,168,14,50,33
store_032,P0013,242,28,72,48
store_035,P0013,121,27,36,24
store_036,P0013,27,0,8,5
store_037,P0013,30,44,9,6
store_038,P0013,199,0,59,39
store_039,P0013,61,0,18,12
store_040,P0013,46,2,13,9
store_041,P0013,87,0,26,17
store_042,P0013,58,0,17,11
store_046,P0013,108,0,32,21
store_047,P0013,84,0,25,16
store_048,P0013,16,0,4,3
store_049,P0013,169,41,50,33
store_050,P0013,38,0,11,7
store_001,P0014,129,30,38,25
store_002,P0014,26,0,7,5
store_004,P0014,5,20,1,1
store_006,P0014,119,0,35,23
store_007,P0014,154,0,46,30
store_008,P0014,29,0,8,5
store_009,P0014,97,5,29,19
store_010,P0014,7,0,2,1
store_011,P0014,36,47,10,7
store_012,P0014,98,0,29,19
store_013,P0014,55,0,16,11
store_015,P0014,46,0,13,9
store_016,P0014,50,0,15,10
store_018,P0014,6,2,1,1
store_019,P0014,74,37,22,14
store_021,P0014,34,0,10,6
store_022,P0014,127,31,38,25
store_023,P0014,78,0,23,15
store_024,P0014,65,31,19,13
store_025,P0014,11,0,3,2
store_029,P0014,45,0,13,9
store_030,P0014,375,42,112,75
store_031,P0014,49,0,14,9
store_032,P0014,57,0,17,11
store_033,P0014,63,48,18,12
store_034,P0014,163,0,48,32
store_035,P0014,23,0,6,4
store_036,P0014,97,0,29,19
store_038,P0014,85,0,25,17
store_039,P0014,51,0,15,10
store_040,P0014,130,0,39,26
store_041,P0014,147,24,44,29
store_045,P0014,20,0,6,4
store_046,P0014,37,0,11,7
store_047,P0014,27,0,8,5
store_048,P0014,63,0,18,12
store_049,P0014,74,0,22,14
store_050,P0014,105,0,31,21
store_001,P0015,51,0,15,10
store_006,P0015,12,0,3,2
store_007,P0015,15,0,4,3
store_008,P0015,99,33,29,19
store_009,P0015,226,4,67,45
store_012,P0015,43,0,12,8
store_014,P0015,146,0,43,29
store_015,P0015,127,0,38,25
store_016,P0015,145,0,43,29
store_017,P0015,17,0,5,3
store_018,P0015,6,0,1,1
store_020,P0015,33,0,9,6
store_023,P0015,19,41,5,3
store_026,P0015,265,31,79,53
store_029,P0015,95,30,28,19
store_030,P0015,32,0,9,6
store_031,P0015,10,0,3,2
store_032,P0015,18,0,5,3
store_034,P0015,72,0,21,14
store_035,P0015,21,0,6,4
store_036,P0015,129,0,38,25
store_037,P0015,12,0,3,2
store_038,P0015,40,9,12,8
store_039,P0015,111,0,33,22
store_040,P0015,68,22,20,13
store_041,P0015,139,0,41,27
store_042,P0015,138,0,41,27
store_044,P0015,87,27,26,17
store_045,P0015,84,0,25,16
store_047,P0015,15,30,4,3
store_048,P0015,41,0,12,8
store_050,P0015,274,0,82,54
store_001,P0016,210,0,63,42
store_002,P0016,102,0,30,20
store_003,P0016,74,0,22,14
store_007,P0016,186,0,55,37
store_008,P0016,83,0,24,16
store_009,P0016,15,0,4,3
store_010,P0016,81,8,24,16
store_011,P0016,146,0,43,29
store_013,P0016,73,4,21,14
store_014,P0016,111,0,33,22
store_016,P0016,65,0,19,13
store_017,P0016,187,0,56,37
store_019,P0016,108,0,32,21
store_020,P0016,17,0,5,3
store_021,P0016,79,45,23,15
store_022,P0016,137,17,41,27
store_023,P0016,30,0,9,6
store_024,P0016,218,0,65,43
store_026,P0016,276,0,82,55
store_027,P0016,65,0,19,13
store_028,P0016,170,0,51,34
store_029,P0016,90,0,27,18
store_030,P0016,104,0,31,20
store_032,P0016,116,0,34,23
store_034,P0016,63,0,18,12
store_035,P0016,49,22,14,9
store_036,P0016,87,11,26,17
store_037,P0016,163,0,48,32
store_040,P0016,15,1,4,3
store_041,P0016,42,0,12,8
store_045,P0016,64,38,19,12
store_046,P0016,84,27,25,16
store_047,P0016,15,0,4,3
store_048,P0016,121,4,36,24
store_050,P0016,115,23,34,23
store_001,P0017,20,0,6,4
store_002,P0017,21,0,6,4
store_003,P0017,37,0,11,7
store_004,P0017,43,0,12,8
store_005,P0017,104,26,31,20
store_006,P0017,119,0,35,23
store_008,P0017,109,10,32,21
store_009,P0017,78,28,23,15
store_010,P0017,32,15,9,6
store_011,P0017,55,0,16,11
store_012,P0017,84,24,25,16
store_014,P0017,24,4,7,4
store_015,P0017,45,5,13,9
store_016,P0017,84,0,25,16
store_017,P0017,2,0,0,0
store_021,P0017,29,0,8,5
store_022,P0017,91,0,27,18
store_024,P0017,61,42,18,12
store_025,P0017,51,29,15,10
store_026,P0017,139,0,41,27
store_027,P0017,14,0,4,2
store_028,P0017,117,0,35,23
store_029,P0017,64,0,19,12
store_030,P0017,54,0,16,10
store_031,P0017,8,21,2,1
store_032,P0017,115,0,34,23
store_033,P0017,11,0,3,2
store_034,P0017,57,42,17,11
store_035,P0017,47,0,14,9
store_036,P0017,5,0,1,1
store_037,P0017,22,0,6,4
store_039,P0017,44,27,13,8
store_041,P0017,304,0,91,60
store_043,P0017,30,0,9,6
store_044,P0017,62,13,18,12
store_046,P0017,31,0,9,6
store_047,P0017,138,0,41,27
store_048,P0017,167,0,50,33
store_049,P0017,47,0,14,9
store_050,P0017,147,15,44,29
store_001,P0018,57,0,17,11
store_003,P0018,9,0,2,1
store_005,P0018,184,0,55,36
store_006,P0018,107,0,32,21
store_007,P0018,30,0,9,6
store_009,P0018,122,0,36,24
store_015,P0018,150,0,45,30
store_016,P0018,86,0,25,17
store_019,P0018,187,0,56,37
store_020,P0018,26,0,7,5
store_021,P0018,21,15,6,4
store_022,P0018,70,0,21,14
store_023,P0018,24,0,7,4
store_024,P0018,54,27,16,10
store_025,P0018,45,46,13,9
store_026,P0018,196,0,58,39
store_027,P0018,211,0,63,42
store_029,P0018,27,33,8,5
store_030,P0018,41,0,12,8
store_032,P0018,13,0,3,2
store_034,P0018,48,46,14,9
store_035,P0018,73,0,21,14
store_037,P0018,12,0,3,2
store_038,P0018,58,0,17,11
store_039,P0018,30,29,9,6
store_040,P0018,39,0,11,7
store_041,P0018,133,0,39,26
store_042,P0018,13,0,3,2
store_043,P0018,78,36,23,15
store_045,P0018,128,0,38,25
store_046,P0018,138,0,41,27
store_047,P0018,121,0,36,24
store_048,P0018,79,19,23,15
store_049,P0018,48,0,14,9
store_050,P0018,21,0,6,4
store_002,P0019,3,0,0,0
store_003,P0019,37,26,11,7
store_005,P0019,142,0,42,28
store_007,P0019,7,0,2,1
store_008,P0019,64,38,19,12
store_009,P0019,116,0,34,23
store_010,P0019,11,0,3,2
store_011,P0019,108,0,32,21
store_012,P0019,27,0,8,5
store_013,P0019,100,26,30,20
store_014,P0019,10,0,3,2
store_015,P0019,89,0,26,17
store_016,P0019,114,0,34,22
store_017,P0019,107,41,32,21
store_019,P0019,102,0,30,20
store_020,P0019,49,0,14,9
store_022,P0019,41,0,12,8
store_023,P0019,26,0,7,5
store_025,P0019,18,0,5,3
store_026,P0019,88,0,26,17
store_027,P0019,14,15,4,2
store_028,P0019,37,10,11,7
store_030,P0019,27,0,8,5
store_031,P0019,38,31,11,7
store_032,P0019,39,0,11,7
store_033,P0019,13,0,3,2
store_034,P0019,8,0,2,1
store_035,P0019,33,29,9,6
store_036,P0019,53,0,15,10
store_038,P0019,134,0,40,26
store_039,P0019,14,0,4,2
store_041,P0019,77,24,23,15
store_043,P0019,80,0,24,16
store_044,P0019,104,0,31,20
store_045,P0019,37,0,11,7
store_048,P0019,6,0,1,1
store_050,P0019,304,0,91,60
store_001,P0020,98,0,29,19
store_002,P0020,64,0,19,12
store_003,P0020,187,45,56,37
store_004,P0020,120,6,36,24
store_006,P0020,206,0,61,41
store_007,P0020,73,0,21,14
store_009,P0020,69,0,20,13
store_010,P0020,11,0,3,2
store_012,P0020,39,0,11,7
store_013,P0020,58,33,17,11
store_014,P0020,198,0,59,39
store_015,P0020,71,0,21,14
store_016,P0020,46,0,13,9
store_017,P0020,66,25,19,13
store_018,P0020,26,0,7,5
store_022,P0020,101,0,30,20
store_023,P0020,28,33,8,5
store_024,P0020,13,0,3,2
store_025,P0020,64,0,19,12
store_026,P0020,26,35,7,5
store_027,P0020,42,29,12,8
store_029,P0020,49,0,14,9
store_032,P0020,126,6,37,25
store_034,P0020,41,0,12,8
store_035,P0020,104,0,31,20
store_037,P0020,24,14,7,4
store_038,P0020,46,0,13,9
store_039,P0020,85,0,25,17
store_041,P0020,115,0,34,23
store_042,P0020,200,0,60,40
store_043,P0020,61,0,18,12
store_044,P0020,14,0,4,2
store_046,P0020,107,0,32,21
store_048,P0020,46,0,13,9
store_050,P0020,52,24,15,10
store_001,P0021,67,0,20,13
store_003,P0021,43,0,12,8
store_004,P0021,39,14,11,7
store_007,P0021,111,0,33,22
store_010,P0021,128,39,38,25
store_012,P0021,59,0,17,11
store_013,P0021,55,20,16,11
store_014,P0021,123,0,36,24
store_015,P0021,95,15,28,19
store_016,P0021,24,0,7,4
store_017,P0021,138,0,41,27
store_018,P0021,36,0,10,7
store_019,P0021,79,14,23,15
store_020,P0021,44,0,13,8
store_021,P0021,101,0,30,20
store_022,P0021,40,0,12,8
store_025,P0021,70,36,21,14
store_026,P0021,37,46,11,7
store_030,P0021,98,31,29,19
store_031,P0021,63,0,18,12
store_032,P0021,137,0,41,27
store_033,P0021,79,0,23,15
store_034,P0021,153,26,45,30
store_036,P0021,74,0,22,14
store_037,P0021,45,0,13,9
store_038,P0021,39,0,11,7
store_039,P0021,222,0,66,44
store_043,P0021,191,11,57,38
store_045,P0021,24,0,7,4
store_048,P0021,49,0,14,9
store_049,P0021,46,0,13,9
store_050,P0021,163,0,48,32
store_001,P0022,42,0,12,8
store_003,P0022,143,0,42,28
store_006,P0022,72,0,21,14
store_007,P0022,31,0,9,6
store_008,P0022,180,0,54,36
store_009,P0022,52,0,15,10
store_011,P0022,58,2,17,11
store_013,P0022,31,42,9,6
store_014,P0022,262,0,78,52
store_016,P0022,185,0,55,37
store_017,P0022,29,0,8,5
store_019,P0022,55,0,16,11
store_020,P0022,254,0,76,50
store_021,P0022,33,0,9,6
store_022,P0022,18,34,5,3
store_023,P0022,73,0,21,14
store_025,P0022,105,33,31,21
store_026,P0022,261,0,78,52
store_028,P0022,4,0,1,0
store_029,P0022,57,0,17,11
store_030,P0022,128,0,38,25
store_032,P0022,41,0,12,8
store_033,P0022,8,0,2,1
store_034,P0022,36,0,10,7
store_035,P0022,160,0,48,32
store_038,P0022,112,0,33,22
store_042,P0022,87,16,26,17
store_043,P0022,123,13,36,24
store_044,P0022,92,0,27,18
store_045,P0022,168,8,50,33
store_046,P0022,36,23,10,7
store_047,P0022,130,0,39,26
store_049,P0022,85,19,25,17
store_050,P0022,163,0,48,32
store_001,P0023,143,0,42,28
store_002,P0023,245,0,73,49
store_003,P0023,55,0,16,11
store_006,P0023,10,0,3,2
store_007,P0023,55,0,16,11
store_009,P0023,320,0,96,64
store_010,P0023,111,0,33,22
store_011,P0023,15,37,4,3
store_012,P0023,58,0,17,11
store_013,P0023,99,0,29,19
store_014,P0023,119,50,35,23
store_015,P0023,31,0,9,6
store_016,P0023,141,35,42,28
store_017,P0023,99,0,29,19
store_018,P0023,28,46,8,5
store_019,P0023,219,0,65,43
store_025,P0023,68,0,20,13
store_026,P0023,117,0,35,23
store_027,P0023,5,0,1,1
store_028,P0023,230,0,69,46
store_030,P0023,133,0,39,26
store_032,P0023,57,0,17,11
store_034,P0023,86,1,25,17
store_035,P0023,140,0,42,28
store_036,P0023,112,2,33,22
store_037,P0023,50,28,15,10
store_038,P0023,11,30,3,2
store_039,P0023,141,49,42,28
store_041,P0023,24,23,7,4
store_046,P0023,163,0,48,32
store_049,P0023,153,0,45,30
store_050,P0023,79,0,23,15
store_002,P0024,79,0,23,15
store_006,P0024,3,12,0,0
store_007,P0024,164,0,49,32
store_008,P0024,52,0,15,10
store_010,P0024,91,42,27,18
store_012,P0024,35,12,10,7
store_013,P0024,12,0,3,2
store_014,P0024,52,39,15,10
store_015,P0024,104,0,31,20
store_019,P0024,61,0,18,12
store_020,P0024,21,0,6,4
store_021,P0024,120,0,36,24
store_022,P0024,9,0,2,1
store_023,P0024,45,0,13,9
store_024,P0024,48,23,14,9
store_026,P0024,309,43,92,61
store_027,P0024,73,47,21,14
store_028,P0024,84,42,25,16
store_029,P0024,27,0,8,5
store_030,P0024,80,0,24,16
store_031,P0024,25,0,7,5
store_032,P0024,17,37,5,3
store_034,P0024,12,0,3,2
store_035,P0024,100,0,30,20
store_036,P0024,63,0,18,12
store_038,P0024,35,0,10,7
store_039,P0024,8,49,2,1
store_040,P0024,63,45,18,12
store_041,P0024,62,0,18,12
store_043,P0024,34,0,10,6
store_044,P0024,76,0,22,15
store_045,P0024,40,0,12,8
store_046,P0024,137,4,41,27
store_047,P0024,4,0,1,0
store_048,P0024,63,0,18,12
store_049,P0024,6,0,1,1
store_050,P0024,104,0,31,20
store_001,P0025,41,13,12,8
store_002,P0025,90,0,27,18
store_003,P0025,8,6,2,1
store_006,P0025,24,10,7,4
store_007,P0025,13,36,3,2
store_009,P0025,130,0,39,26
store_011,P0025,14,25,4,2
store_012,P0025,80,0,24,16
store_013,P0025,66,0,19,13
store_014,P0025,160,0,48,32
store_015,P0025,140,1,42,28
store_017,P0025,10,0,3,2
store_018,P0025,28,0,8,5
store_021,P0025,59,0,17,11
store_022,P0025,30,0,9,6
store_023,P0025,54,0,16,10
store_025,P0025,55,34,16,11
store_026,P0025,152,0,45,30
store_027,P0025,132,36,39,26
store_028,P0025,43,0,12,8
store_029,P0025,31,0,9,6
